"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Drug/Alcohol Induced"	"Drug/Alcohol Induced Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
"Total"	"Georgia"	"13"					29526	177534097	16.63	16.33
	"Hawaii"	"15"	"1999"	"1999"	"Drug-induced causes"	"D"	83	1210300	6.86	6.78
	"Hawaii"	"15"	"1999"	"1999"	"Alcohol-induced causes"	"A"	38	1210300	3.14	3.10
"Total"	"Hawaii"	"15"	"1999"	"1999"			121	1210300	10.00	9.89
	"Hawaii"	"15"	"2000"	"2000"	"Drug-induced causes"	"D"	64	1211537	5.28	5.23
	"Hawaii"	"15"	"2000"	"2000"	"Alcohol-induced causes"	"A"	38	1211537	3.14	3.06
"Total"	"Hawaii"	"15"	"2000"	"2000"			102	1211537	8.42	8.29
	"Hawaii"	"15"	"2001"	"2001"	"Drug-induced causes"	"D"	83	1225948	6.77	6.64
	"Hawaii"	"15"	"2001"	"2001"	"Alcohol-induced causes"	"A"	36	1225948	2.94	2.77
"Total"	"Hawaii"	"15"	"2001"	"2001"			119	1225948	9.71	9.43
	"Hawaii"	"15"	"2002"	"2002"	"Drug-induced causes"	"D"	85	1239613	6.86	6.77
	"Hawaii"	"15"	"2002"	"2002"	"Alcohol-induced causes"	"A"	44	1239613	3.55	3.40
"Total"	"Hawaii"	"15"	"2002"	"2002"			129	1239613	10.41	10.18
	"Hawaii"	"15"	"2003"	"2003"	"Drug-induced causes"	"D"	102	1251154	8.15	7.93
	"Hawaii"	"15"	"2003"	"2003"	"Alcohol-induced causes"	"A"	31	1251154	2.48	2.33
"Total"	"Hawaii"	"15"	"2003"	"2003"			133	1251154	10.63	10.22
	"Hawaii"	"15"	"2004"	"2004"	"Drug-induced causes"	"D"	128	1273569	10.05	9.94
	"Hawaii"	"15"	"2004"	"2004"	"Alcohol-induced causes"	"A"	66	1273569	5.18	4.90
"Total"	"Hawaii"	"15"	"2004"	"2004"			194	1273569	15.23	14.86
	"Hawaii"	"15"	"2005"	"2005"	"Drug-induced causes"	"D"	143	1292729	11.06	10.77
	"Hawaii"	"15"	"2005"	"2005"	"Alcohol-induced causes"	"A"	49	1292729	3.79	3.52
"Total"	"Hawaii"	"15"	"2005"	"2005"			192	1292729	14.85	14.28
	"Hawaii"	"15"	"2006"	"2006"	"Drug-induced causes"	"D"	131	1309731	10.00	9.77
	"Hawaii"	"15"	"2006"	"2006"	"Alcohol-induced causes"	"A"	65	1309731	4.96	4.64
"Total"	"Hawaii"	"15"	"2006"	"2006"			196	1309731	14.96	14.42
	"Hawaii"	"15"	"2007"	"2007"	"Drug-induced causes"	"D"	142	1315675	10.79	10.48
	"Hawaii"	"15"	"2007"	"2007"	"Alcohol-induced causes"	"A"	82	1315675	6.23	5.59
"Total"	"Hawaii"	"15"	"2007"	"2007"			224	1315675	17.03	16.06
	"Hawaii"	"15"	"2008"	"2008"	"Drug-induced causes"	"D"	129	1332213	9.68	9.43
	"Hawaii"	"15"	"2008"	"2008"	"Alcohol-induced causes"	"A"	75	1332213	5.63	5.03
"Total"	"Hawaii"	"15"	"2008"	"2008"			204	1332213	15.31	14.45
	"Hawaii"	"15"	"2009"	"2009"	"Drug-induced causes"	"D"	148	1346717	10.99	10.43
	"Hawaii"	"15"	"2009"	"2009"	"Alcohol-induced causes"	"A"	94	1346717	6.98	6.14
"Total"	"Hawaii"	"15"	"2009"	"2009"			242	1346717	17.97	16.56
	"Hawaii"	"15"	"2010"	"2010"	"Drug-induced causes"	"D"	154	1360301	11.32	11.11
	"Hawaii"	"15"	"2010"	"2010"	"Alcohol-induced causes"	"A"	87	1360301	6.40	5.49
"Total"	"Hawaii"	"15"	"2010"	"2010"			241	1360301	17.72	16.59
	"Hawaii"	"15"	"2011"	"2011"	"Drug-induced causes"	"D"	189	1374810	13.75	13.01
	"Hawaii"	"15"	"2011"	"2011"	"Alcohol-induced causes"	"A"	88	1374810	6.40	5.39
"Total"	"Hawaii"	"15"	"2011"	"2011"			277	1374810	20.15	18.42
	"Hawaii"	"15"	"2012"	"2012"	"Drug-induced causes"	"D"	159	1392313	11.42	11.22
	"Hawaii"	"15"	"2012"	"2012"	"Alcohol-induced causes"	"A"	84	1392313	6.03	5.29
"Total"	"Hawaii"	"15"	"2012"	"2012"			243	1392313	17.45	16.50
	"Hawaii"	"15"	"2013"	"2013"	"Drug-induced causes"	"D"	167	1404054	11.89	11.52
	"Hawaii"	"15"	"2013"	"2013"	"Alcohol-induced causes"	"A"	70	1404054	4.99	4.48
"Total"	"Hawaii"	"15"	"2013"	"2013"			237	1404054	16.88	16.03
	"Hawaii"	"15"	"2014"	"2014"	"Drug-induced causes"	"D"	174	1419561	12.26	12.02
	"Hawaii"	"15"	"2014"	"2014"	"Alcohol-induced causes"	"A"	87	1419561	6.13	5.61
"Total"	"Hawaii"	"15"	"2014"	"2014"			261	1419561	18.39	17.63
	"Hawaii"	"15"	"2015"	"2015"	"Drug-induced causes"	"D"	175	1431603	12.22	11.75
	"Hawaii"	"15"	"2015"	"2015"	"Alcohol-induced causes"	"A"	95	1431603	6.64	5.83
"Total"	"Hawaii"	"15"	"2015"	"2015"			270	1431603	18.86	17.58
	"Hawaii"	"15"	"2016"	"2016"	"Drug-induced causes"	"D"	207	1428557	14.49	13.77
	"Hawaii"	"15"	"2016"	"2016"	"Alcohol-induced causes"	"A"	97	1428557	6.79	5.68
"Total"	"Hawaii"	"15"	"2016"	"2016"			304	1428557	21.28	19.47
	"Hawaii"	"15"	"2017"	"2017"	"Drug-induced causes"	"D"	221	1427538	15.48	15.03
	"Hawaii"	"15"	"2017"	"2017"	"Alcohol-induced causes"	"A"	95	1427538	6.65	5.76
"Total"	"Hawaii"	"15"	"2017"	"2017"			316	1427538	22.14	20.77
"Total"	"Hawaii"	"15"					4005	25247923	15.86	15.10
	"Idaho"	"16"	"1999"	"1999"	"Drug-induced causes"	"D"	66	1275674	5.17	5.44
	"Idaho"	"16"	"1999"	"1999"	"Alcohol-induced causes"	"A"	74	1275674	5.80	6.21
"Total"	"Idaho"	"16"	"1999"	"1999"			140	1275674	10.97	11.65
	"Idaho"	"16"	"2000"	"2000"	"Drug-induced causes"	"D"	70	1293953	5.41	5.61
	"Idaho"	"16"	"2000"	"2000"	"Alcohol-induced causes"	"A"	105	1293953	8.11	8.70
"Total"	"Idaho"	"16"	"2000"	"2000"			175	1293953	13.52	14.32
	"Idaho"	"16"	"2001"	"2001"	"Drug-induced causes"	"D"	99	1319962	7.50	7.91
	"Idaho"	"16"	"2001"	"2001"	"Alcohol-induced causes"	"A"	123	1319962	9.32	9.91
"Total"	"Idaho"	"16"	"2001"	"2001"			222	1319962	16.82	17.79
	"Idaho"	"16"	"2002"	"2002"	"Drug-induced causes"	"D"	123	1340372	9.18	9.61
	"Idaho"	"16"	"2002"	"2002"	"Alcohol-induced causes"	"A"	121	1340372	9.03	9.40
"Total"	"Idaho"	"16"	"2002"	"2002"			244	1340372	18.20	18.99
	"Idaho"	"16"	"2003"	"2003"	"Drug-induced causes"	"D"	118	1363380	8.65	9.16
	"Idaho"	"16"	"2003"	"2003"	"Alcohol-induced causes"	"A"	135	1363380	9.90	10.12
"Total"	"Idaho"	"16"	"2003"	"2003"			253	1363380	18.56	19.27
	"Idaho"	"16"	"2004"	"2004"	"Drug-induced causes"	"D"	113	1391802	8.12	8.47
	"Idaho"	"16"	"2004"	"2004"	"Alcohol-induced causes"	"A"	119	1391802	8.55	8.67
"Total"	"Idaho"	"16"	"2004"	"2004"			232	1391802	16.67	17.15
	"Idaho"	"16"	"2005"	"2005"	"Drug-induced causes"	"D"	118	1428241	8.26	8.65
	"Idaho"	"16"	"2005"	"2005"	"Alcohol-induced causes"	"A"	135	1428241	9.45	9.48
"Total"	"Idaho"	"16"	"2005"	"2005"			253	1428241	17.71	18.12
	"Idaho"	"16"	"2006"	"2006"	"Drug-induced causes"	"D"	147	1468669	10.01	10.52
	"Idaho"	"16"	"2006"	"2006"	"Alcohol-induced causes"	"A"	129	1468669	8.78	8.74
"Total"	"Idaho"	"16"	"2006"	"2006"			276	1468669	18.79	19.27
	"Idaho"	"16"	"2007"	"2007"	"Drug-induced causes"	"D"	133	1505105	8.84	9.15
	"Idaho"	"16"	"2007"	"2007"	"Alcohol-induced causes"	"A"	152	1505105	10.10	9.95
"Total"	"Idaho"	"16"	"2007"	"2007"			285	1505105	18.94	19.09
	"Idaho"	"16"	"2008"	"2008"	"Drug-induced causes"	"D"	152	1534320	9.91	10.17
	"Idaho"	"16"	"2008"	"2008"	"Alcohol-induced causes"	"A"	173	1534320	11.28	11.06
"Total"	"Idaho"	"16"	"2008"	"2008"			325	1534320	21.18	21.24
	"Idaho"	"16"	"2009"	"2009"	"Drug-induced causes"	"D"	181	1554439	11.64	12.33
	"Idaho"	"16"	"2009"	"2009"	"Alcohol-induced causes"	"A"	167	1554439	10.74	10.45
"Total"	"Idaho"	"16"	"2009"	"2009"			348	1554439	22.39	22.76
	"Idaho"	"16"	"2010"	"2010"	"Drug-induced causes"	"D"	184	1567582	11.74	12.19
	"Idaho"	"16"	"2010"	"2010"	"Alcohol-induced causes"	"A"	162	1567582	10.33	9.92
"Total"	"Idaho"	"16"	"2010"	"2010"			346	1567582	22.07	22.13
	"Idaho"	"16"	"2011"	"2011"	"Drug-induced causes"	"D"	199	1584985	12.56	13.22
	"Idaho"	"16"	"2011"	"2011"	"Alcohol-induced causes"	"A"	181	1584985	11.42	11.09
"Total"	"Idaho"	"16"	"2011"	"2011"			380	1584985	23.97	24.32
	"Idaho"	"16"	"2012"	"2012"	"Drug-induced causes"	"D"	188	1595728	11.78	12.33
	"Idaho"	"16"	"2012"	"2012"	"Alcohol-induced causes"	"A"	218	1595728	13.66	13.01
"Total"	"Idaho"	"16"	"2012"	"2012"			406	1595728	25.44	25.33
	"Idaho"	"16"	"2013"	"2013"	"Drug-induced causes"	"D"	217	1612136	13.46	13.92
	"Idaho"	"16"	"2013"	"2013"	"Alcohol-induced causes"	"A"	215	1612136	13.34	11.93
"Total"	"Idaho"	"16"	"2013"	"2013"			432	1612136	26.80	25.87
	"Idaho"	"16"	"2014"	"2014"	"Drug-induced causes"	"D"	218	1634464	13.34	14.11
	"Idaho"	"16"	"2014"	"2014"	"Alcohol-induced causes"	"A"	231	1634464	14.13	12.97
"Total"	"Idaho"	"16"	"2014"	"2014"			449	1634464	27.47	27.09
	"Idaho"	"16"	"2015"	"2015"	"Drug-induced causes"	"D"	224	1654930	13.54	14.55
	"Idaho"	"16"	"2015"	"2015"	"Alcohol-induced causes"	"A"	240	1654930	14.50	13.50
"Total"	"Idaho"	"16"	"2015"	"2015"			464	1654930	28.04	28.05
	"Idaho"	"16"	"2016"	"2016"	"Drug-induced causes"	"D"	260	1683140	15.45	16.10
	"Idaho"	"16"	"2016"	"2016"	"Alcohol-induced causes"	"A"	221	1683140	13.13	11.66
"Total"	"Idaho"	"16"	"2016"	"2016"			481	1683140	28.58	27.77
	"Idaho"	"16"	"2017"	"2017"	"Drug-induced causes"	"D"	264	1716943	15.38	15.88
	"Idaho"	"16"	"2017"	"2017"	"Alcohol-induced causes"	"A"	221	1716943	12.87	11.60
"Total"	"Idaho"	"16"	"2017"	"2017"			485	1716943	28.25	27.51
"Total"	"Idaho"	"16"					6196	28525825	21.72	21.90
	"Illinois"	"17"	"1999"	"1999"	"Drug-induced causes"	"D"	872	12359020	7.06	7.05
	"Illinois"	"17"	"1999"	"1999"	"Alcohol-induced causes"	"A"	643	12359020	5.20	5.37
"Total"	"Illinois"	"17"	"1999"	"1999"			1515	12359020	12.26	12.44
	"Illinois"	"17"	"2000"	"2000"	"Drug-induced causes"	"D"	910	12419293	7.33	7.34
	"Illinois"	"17"	"2000"	"2000"	"Alcohol-induced causes"	"A"	563	12419293	4.53	4.66
"Total"	"Illinois"	"17"	"2000"	"2000"			1473	12419293	11.86	12.01
	"Illinois"	"17"	"2001"	"2001"	"Drug-induced causes"	"D"	930	12488445	7.45	7.45
	"Illinois"	"17"	"2001"	"2001"	"Alcohol-induced causes"	"A"	634	12488445	5.08	5.18
"Total"	"Illinois"	"17"	"2001"	"2001"			1564	12488445	12.52	12.63
	"Illinois"	"17"	"2002"	"2002"	"Drug-induced causes"	"D"	1030	12525556	8.22	8.26
	"Illinois"	"17"	"2002"	"2002"	"Alcohol-induced causes"	"A"	582	12525556	4.65	4.67
"Total"	"Illinois"	"17"	"2002"	"2002"			1612	12525556	12.87	12.94
	"Illinois"	"17"	"2003"	"2003"	"Drug-induced causes"	"D"	872	12556006	6.94	6.97
	"Illinois"	"17"	"2003"	"2003"	"Alcohol-induced causes"	"A"	568	12556006	4.52	4.53
"Total"	"Illinois"	"17"	"2003"	"2003"			1440	12556006	11.47	11.50
	"Illinois"	"17"	"2004"	"2004"	"Drug-induced causes"	"D"	1080	12589773	8.58	8.63
	"Illinois"	"17"	"2004"	"2004"	"Alcohol-induced causes"	"A"	592	12589773	4.70	4.63
"Total"	"Illinois"	"17"	"2004"	"2004"			1672	12589773	13.28	13.27
	"Illinois"	"17"	"2005"	"2005"	"Drug-induced causes"	"D"	1140	12609903	9.04	9.03
	"Illinois"	"17"	"2005"	"2005"	"Alcohol-induced causes"	"A"	572	12609903	4.54	4.43
"Total"	"Illinois"	"17"	"2005"	"2005"			1712	12609903	13.58	13.46
	"Illinois"	"17"	"2006"	"2006"	"Drug-induced causes"	"D"	1423	12643955	11.25	11.28
	"Illinois"	"17"	"2006"	"2006"	"Alcohol-induced causes"	"A"	610	12643955	4.82	4.67
"Total"	"Illinois"	"17"	"2006"	"2006"			2033	12643955	16.08	15.93
	"Illinois"	"17"	"2007"	"2007"	"Drug-induced causes"	"D"	1239	12695866	9.76	9.73
	"Illinois"	"17"	"2007"	"2007"	"Alcohol-induced causes"	"A"	630	12695866	4.96	4.79
"Total"	"Illinois"	"17"	"2007"	"2007"			1869	12695866	14.72	14.52
	"Illinois"	"17"	"2008"	"2008"	"Drug-induced causes"	"D"	1412	12747038	11.08	11.04
	"Illinois"	"17"	"2008"	"2008"	"Alcohol-induced causes"	"A"	707	12747038	5.55	5.27
"Total"	"Illinois"	"17"	"2008"	"2008"			2119	12747038	16.62	16.30
	"Illinois"	"17"	"2009"	"2009"	"Drug-induced causes"	"D"	1427	12796778	11.15	11.10
	"Illinois"	"17"	"2009"	"2009"	"Alcohol-induced causes"	"A"	746	12796778	5.83	5.56
"Total"	"Illinois"	"17"	"2009"	"2009"			2173	12796778	16.98	16.68
	"Illinois"	"17"	"2010"	"2010"	"Drug-induced causes"	"D"	1344	12830632	10.47	10.43
	"Illinois"	"17"	"2010"	"2010"	"Alcohol-induced causes"	"A"	690	12830632	5.38	5.04
"Total"	"Illinois"	"17"	"2010"	"2010"			2034	12830632	15.85	15.49
	"Illinois"	"17"	"2011"	"2011"	"Drug-induced causes"	"D"	1459	12869257	11.34	11.32
	"Illinois"	"17"	"2011"	"2011"	"Alcohol-induced causes"	"A"	775	12869257	6.02	5.60
"Total"	"Illinois"	"17"	"2011"	"2011"			2234	12869257	17.36	16.91
	"Illinois"	"17"	"2012"	"2012"	"Drug-induced causes"	"D"	1667	12875255	12.95	12.84
	"Illinois"	"17"	"2012"	"2012"	"Alcohol-induced causes"	"A"	777	12875255	6.03	5.52
"Total"	"Illinois"	"17"	"2012"	"2012"			2444	12875255	18.98	18.37
	"Illinois"	"17"	"2013"	"2013"	"Drug-induced causes"	"D"	1607	12882135	12.47	12.28
	"Illinois"	"17"	"2013"	"2013"	"Alcohol-induced causes"	"A"	813	12882135	6.31	5.79
"Total"	"Illinois"	"17"	"2013"	"2013"			2420	12882135	18.79	18.08
	"Illinois"	"17"	"2014"	"2014"	"Drug-induced causes"	"D"	1736	12880580	13.48	13.35
	"Illinois"	"17"	"2014"	"2014"	"Alcohol-induced causes"	"A"	889	12880580	6.90	6.28
"Total"	"Illinois"	"17"	"2014"	"2014"			2625	12880580	20.38	19.63
	"Illinois"	"17"	"2015"	"2015"	"Drug-induced causes"	"D"	1872	12859995	14.56	14.38
	"Illinois"	"17"	"2015"	"2015"	"Alcohol-induced causes"	"A"	946	12859995	7.36	6.50
"Total"	"Illinois"	"17"	"2015"	"2015"			2818	12859995	21.91	20.88
	"Illinois"	"17"	"2016"	"2016"	"Drug-induced causes"	"D"	2455	12801539	19.18	19.20
	"Illinois"	"17"	"2016"	"2016"	"Alcohol-induced causes"	"A"	1113	12801539	8.69	7.82
"Total"	"Illinois"	"17"	"2016"	"2016"			3568	12801539	27.87	27.04
	"Illinois"	"17"	"2017"	"2017"	"Drug-induced causes"	"D"	2812	12802023	21.97	21.88
	"Illinois"	"17"	"2017"	"2017"	"Alcohol-induced causes"	"A"	1116	12802023	8.72	7.73
"Total"	"Illinois"	"17"	"2017"	"2017"			3928	12802023	30.68	29.59
"Total"	"Illinois"	"17"					41253	241233049	17.10	16.84
	"Indiana"	"18"	"1999"	"1999"	"Drug-induced causes"	"D"	251	6044969	4.15	4.16
	"Indiana"	"18"	"1999"	"1999"	"Alcohol-induced causes"	"A"	307	6044969	5.08	5.16
"Total"	"Indiana"	"18"	"1999"	"1999"			558	6044969	9.23	9.33
	"Indiana"	"18"	"2000"	"2000"	"Drug-induced causes"	"D"	289	6080485	4.75	4.78
	"Indiana"	"18"	"2000"	"2000"	"Alcohol-induced causes"	"A"	347	6080485	5.71	5.76
"Total"	"Indiana"	"18"	"2000"	"2000"			636	6080485	10.46	10.56
	"Indiana"	"18"	"2001"	"2001"	"Drug-induced causes"	"D"	348	6127760	5.68	5.74
	"Indiana"	"18"	"2001"	"2001"	"Alcohol-induced causes"	"A"	310	6127760	5.06	5.08
"Total"	"Indiana"	"18"	"2001"	"2001"			658	6127760	10.74	10.79
	"Indiana"	"18"	"2002"	"2002"	"Drug-induced causes"	"D"	345	6155967	5.60	5.67
	"Indiana"	"18"	"2002"	"2002"	"Alcohol-induced causes"	"A"	325	6155967	5.28	5.24
"Total"	"Indiana"	"18"	"2002"	"2002"			670	6155967	10.88	10.93
	"Indiana"	"18"	"2003"	"2003"	"Drug-induced causes"	"D"	498	6196638	8.04	8.15
	"Indiana"	"18"	"2003"	"2003"	"Alcohol-induced causes"	"A"	330	6196638	5.33	5.23
"Total"	"Indiana"	"18"	"2003"	"2003"			828	6196638	13.36	13.39
	"Indiana"	"18"	"2004"	"2004"	"Drug-induced causes"	"D"	606	6233007	9.72	9.86
	"Indiana"	"18"	"2004"	"2004"	"Alcohol-induced causes"	"A"	327	6233007	5.25	5.13
"Total"	"Indiana"	"18"	"2004"	"2004"			933	6233007	14.97	15.00
	"Indiana"	"18"	"2005"	"2005"	"Drug-induced causes"	"D"	665	6278616	10.59	10.74
	"Indiana"	"18"	"2005"	"2005"	"Alcohol-induced causes"	"A"	319	6278616	5.08	4.87
"Total"	"Indiana"	"18"	"2005"	"2005"			984	6278616	15.67	15.62
	"Indiana"	"18"	"2006"	"2006"	"Drug-induced causes"	"D"	773	6332669	12.21	12.32
	"Indiana"	"18"	"2006"	"2006"	"Alcohol-induced causes"	"A"	332	6332669	5.24	5.03
"Total"	"Indiana"	"18"	"2006"	"2006"			1105	6332669	17.45	17.35
	"Indiana"	"18"	"2007"	"2007"	"Drug-induced causes"	"D"	827	6379599	12.96	13.13
	"Indiana"	"18"	"2007"	"2007"	"Alcohol-induced causes"	"A"	315	6379599	4.94	4.69
"Total"	"Indiana"	"18"	"2007"	"2007"			1142	6379599	17.90	17.83
	"Indiana"	"18"	"2008"	"2008"	"Drug-induced causes"	"D"	869	6424806	13.53	13.81
	"Indiana"	"18"	"2008"	"2008"	"Alcohol-induced causes"	"A"	376	6424806	5.85	5.44
"Total"	"Indiana"	"18"	"2008"	"2008"			1245	6424806	19.38	19.25
	"Indiana"	"18"	"2009"	"2009"	"Drug-induced causes"	"D"	929	6459325	14.38	14.53
	"Indiana"	"18"	"2009"	"2009"	"Alcohol-induced causes"	"A"	381	6459325	5.90	5.43
"Total"	"Indiana"	"18"	"2009"	"2009"			1310	6459325	20.28	19.97
	"Indiana"	"18"	"2010"	"2010"	"Drug-induced causes"	"D"	964	6483802	14.87	14.91
	"Indiana"	"18"	"2010"	"2010"	"Alcohol-induced causes"	"A"	435	6483802	6.71	6.25
"Total"	"Indiana"	"18"	"2010"	"2010"			1399	6483802	21.58	21.16
	"Indiana"	"18"	"2011"	"2011"	"Drug-induced causes"	"D"	1006	6516922	15.44	15.80
	"Indiana"	"18"	"2011"	"2011"	"Alcohol-induced causes"	"A"	495	6516922	7.60	6.90
"Total"	"Indiana"	"18"	"2011"	"2011"			1501	6516922	23.03	22.70
	"Indiana"	"18"	"2012"	"2012"	"Drug-induced causes"	"D"	1056	6537334	16.15	16.68
	"Indiana"	"18"	"2012"	"2012"	"Alcohol-induced causes"	"A"	499	6537334	7.63	7.05
"Total"	"Indiana"	"18"	"2012"	"2012"			1555	6537334	23.79	23.72
	"Indiana"	"18"	"2013"	"2013"	"Drug-induced causes"	"D"	1122	6570902	17.08	17.47
	"Indiana"	"18"	"2013"	"2013"	"Alcohol-induced causes"	"A"	533	6570902	8.11	7.34
"Total"	"Indiana"	"18"	"2013"	"2013"			1655	6570902	25.19	24.81
	"Indiana"	"18"	"2014"	"2014"	"Drug-induced causes"	"D"	1233	6596855	18.69	19.19
	"Indiana"	"18"	"2014"	"2014"	"Alcohol-induced causes"	"A"	592	6596855	8.97	8.07
"Total"	"Indiana"	"18"	"2014"	"2014"			1825	6596855	27.66	27.26
	"Indiana"	"18"	"2015"	"2015"	"Drug-induced causes"	"D"	1310	6619680	19.79	20.50
	"Indiana"	"18"	"2015"	"2015"	"Alcohol-induced causes"	"A"	689	6619680	10.41	9.38
"Total"	"Indiana"	"18"	"2015"	"2015"			1999	6619680	30.20	29.91
	"Indiana"	"18"	"2016"	"2016"	"Drug-induced causes"	"D"	1574	6633053	23.73	24.72
	"Indiana"	"18"	"2016"	"2016"	"Alcohol-induced causes"	"A"	707	6633053	10.66	9.37
"Total"	"Indiana"	"18"	"2016"	"2016"			2281	6633053	34.39	34.07
	"Indiana"	"18"	"2017"	"2017"	"Drug-induced causes"	"D"	1925	6666818	28.87	30.48
	"Indiana"	"18"	"2017"	"2017"	"Alcohol-induced causes"	"A"	722	6666818	10.83	9.61
"Total"	"Indiana"	"18"	"2017"	"2017"			2647	6666818	39.70	40.08
"Total"	"Indiana"	"18"					24931	121339207	20.55	20.41
	"Iowa"	"19"	"1999"	"1999"	"Drug-induced causes"	"D"	59	2917634	2.02	2.05
	"Iowa"	"19"	"1999"	"1999"	"Alcohol-induced causes"	"A"	153	2917634	5.24	5.10
"Total"	"Iowa"	"19"	"1999"	"1999"			212	2917634	7.27	7.17
	"Iowa"	"19"	"2000"	"2000"	"Drug-induced causes"	"D"	79	2926324	2.70	2.74
	"Iowa"	"19"	"2000"	"2000"	"Alcohol-induced causes"	"A"	135	2926324	4.61	4.49
"Total"	"Iowa"	"19"	"2000"	"2000"			214	2926324	7.31	7.23
	"Iowa"	"19"	"2001"	"2001"	"Drug-induced causes"	"D"	90	2931997	3.07	3.11
	"Iowa"	"19"	"2001"	"2001"	"Alcohol-induced causes"	"A"	158	2931997	5.39	5.20
"Total"	"Iowa"	"19"	"2001"	"2001"			248	2931997	8.46	8.31
	"Iowa"	"19"	"2002"	"2002"	"Drug-induced causes"	"D"	101	2934234	3.44	3.46
	"Iowa"	"19"	"2002"	"2002"	"Alcohol-induced causes"	"A"	162	2934234	5.52	5.30
"Total"	"Iowa"	"19"	"2002"	"2002"			263	2934234	8.96	8.74
	"Iowa"	"19"	"2003"	"2003"	"Drug-induced causes"	"D"	110	2941999	3.74	3.85
	"Iowa"	"19"	"2003"	"2003"	"Alcohol-induced causes"	"A"	167	2941999	5.68	5.45
"Total"	"Iowa"	"19"	"2003"	"2003"			277	2941999	9.42	9.28
	"Iowa"	"19"	"2004"	"2004"	"Drug-induced causes"	"D"	132	2953635	4.47	4.56
	"Iowa"	"19"	"2004"	"2004"	"Alcohol-induced causes"	"A"	156	2953635	5.28	5.02
"Total"	"Iowa"	"19"	"2004"	"2004"			288	2953635	9.75	9.57
	"Iowa"	"19"	"2005"	"2005"	"Drug-induced causes"	"D"	154	2964454	5.19	5.27
	"Iowa"	"19"	"2005"	"2005"	"Alcohol-induced causes"	"A"	193	2964454	6.51	6.07
"Total"	"Iowa"	"19"	"2005"	"2005"			347	2964454	11.71	11.36
	"Iowa"	"19"	"2006"	"2006"	"Drug-induced causes"	"D"	199	2982644	6.67	6.95
	"Iowa"	"19"	"2006"	"2006"	"Alcohol-induced causes"	"A"	185	2982644	6.20	5.76
"Total"	"Iowa"	"19"	"2006"	"2006"			384	2982644	12.87	12.70
	"Iowa"	"19"	"2007"	"2007"	"Drug-induced causes"	"D"	211	2999212	7.04	7.13
	"Iowa"	"19"	"2007"	"2007"	"Alcohol-induced causes"	"A"	212	2999212	7.07	6.53
"Total"	"Iowa"	"19"	"2007"	"2007"			423	2999212	14.10	13.66
	"Iowa"	"19"	"2008"	"2008"	"Drug-induced causes"	"D"	214	3016734	7.09	7.34
	"Iowa"	"19"	"2008"	"2008"	"Alcohol-induced causes"	"A"	205	3016734	6.80	6.17
"Total"	"Iowa"	"19"	"2008"	"2008"			419	3016734	13.89	13.54
	"Iowa"	"19"	"2009"	"2009"	"Drug-induced causes"	"D"	213	3032870	7.02	7.35
	"Iowa"	"19"	"2009"	"2009"	"Alcohol-induced causes"	"A"	230	3032870	7.58	6.83
"Total"	"Iowa"	"19"	"2009"	"2009"			443	3032870	14.61	14.18
	"Iowa"	"19"	"2010"	"2010"	"Drug-induced causes"	"D"	258	3046355	8.47	8.75
	"Iowa"	"19"	"2010"	"2010"	"Alcohol-induced causes"	"A"	233	3046355	7.65	6.73
"Total"	"Iowa"	"19"	"2010"	"2010"			491	3046355	16.12	15.48
	"Iowa"	"19"	"2011"	"2011"	"Drug-induced causes"	"D"	265	3062309	8.65	8.97
	"Iowa"	"19"	"2011"	"2011"	"Alcohol-induced causes"	"A"	256	3062309	8.36	7.59
"Total"	"Iowa"	"19"	"2011"	"2011"			521	3062309	17.01	16.53
	"Iowa"	"19"	"2012"	"2012"	"Drug-induced causes"	"D"	268	3074186	8.72	8.91
	"Iowa"	"19"	"2012"	"2012"	"Alcohol-induced causes"	"A"	275	3074186	8.95	8.01
"Total"	"Iowa"	"19"	"2012"	"2012"			543	3074186	17.66	16.89
	"Iowa"	"19"	"2013"	"2013"	"Drug-induced causes"	"D"	287	3090416	9.29	9.70
	"Iowa"	"19"	"2013"	"2013"	"Alcohol-induced causes"	"A"	313	3090416	10.13	9.02
"Total"	"Iowa"	"19"	"2013"	"2013"			600	3090416	19.41	18.72
	"Iowa"	"19"	"2014"	"2014"	"Drug-induced causes"	"D"	273	3107126	8.79	9.10
	"Iowa"	"19"	"2014"	"2014"	"Alcohol-induced causes"	"A"	360	3107126	11.59	10.20
"Total"	"Iowa"	"19"	"2014"	"2014"			633	3107126	20.37	19.30
	"Iowa"	"19"	"2015"	"2015"	"Drug-induced causes"	"D"	332	3123899	10.63	10.97
	"Iowa"	"19"	"2015"	"2015"	"Alcohol-induced causes"	"A"	344	3123899	11.01	9.84
"Total"	"Iowa"	"19"	"2015"	"2015"			676	3123899	21.64	20.80
	"Iowa"	"19"	"2016"	"2016"	"Drug-induced causes"	"D"	338	3134693	10.78	11.23
	"Iowa"	"19"	"2016"	"2016"	"Alcohol-induced causes"	"A"	380	3134693	12.12	10.89
"Total"	"Iowa"	"19"	"2016"	"2016"			718	3134693	22.90	22.11
	"Iowa"	"19"	"2017"	"2017"	"Drug-induced causes"	"D"	357	3145711	11.35	11.99
	"Iowa"	"19"	"2017"	"2017"	"Alcohol-induced causes"	"A"	404	3145711	12.84	11.50
